food items,Calories,Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (mcg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B6 (mg),Vitamin B9 (mcg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Omega-3 (mg),Omega-6 (mg),Sugar (g),Veg/Non-Veg,Category,Male/Female
Vegetable poha with flaxseeds,250,40,6,5,4,400,8,0,0.4,30,0.3,0.2,0.9,0.3,35,20,1.2,20,40,200,8,0.4,8,2,1.5,Veg,Breakfast,Female
Multigrain toast with avocado and chia,280,30,6,12,8,800,10,0,1,25,0.2,0.1,1,0.3,40,60,2,30,50,250,10,0.7,15,4,0.5,Veg,Breakfast,Female
Banana and spinach smoothie with ginger,200,36,4,3,5,1000,15,0,0.2,80,0.2,0.1,0.8,0.3,30,50,1.5,20,90,350,12,0.3,5,2.5,9,Veg,Breakfast,Female
Moong dal chilla with coriander chutney,220,28,8,6,4,300,7,0,0.5,50,0.3,0.2,0.9,0.3,40,30,1.8,30,70,200,8,0.5,10,3,1.2,Veg,Breakfast,Female
Greek yogurt with flaxseeds and berries,180,20,6,5,3,500,10,0,0.5,15,0.2,0.1,0.6,0.2,30,120,0.5,20,50,180,70,0.3,10,2,7,Veg,Breakfast,Female
Masala oats with vegetables and ginger,250,38,8,5,4.5,400,8,0,0.3,30,0.3,0.2,0.9,0.3,35,40,1,25,70,220,8,0.4,8,2.5,1,Veg,Breakfast,Female
Warm water with lemon and papaya slices,100,22,1,0.3,2,2000,60,0,0.1,15,0.1,0,0.3,0.1,30,20,0.2,10,30,100,5,0.1,0,0,20,Veg,Breakfast,Female
Chia pudding with almond milk and banana,240,28,6,8,6,300,10,0,1,20,0.2,0.1,0.8,0.3,40,150,1.5,40,100,300,20,0.5,12,4.5,12,Veg,Breakfast,Female
Quinoa salad with chickpeas and spinach,320,45,12,8,7,2000,20,0,0.5,80,0.3,0.2,1.2,0.5,70,50,2.5,90,200,500,200,1,15,5,2,Veg,Lunch,Female
Lentil soup with carrots and celery,280,38,12,4,6,800,15,0,0.2,25,0.2,0.2,1,0.4,60,50,2,40,150,400,180,0.8,5,2.5,2,Veg,Lunch,Female
Grilled tofu with stir-fried zucchini,300,20,15,15,5,1500,12,0,1.2,90,0.2,0.1,0.9,0.3,50,250,2.5,60,200,450,20,1.2,18,6,0.8,Veg,Lunch,Female
Brown rice with steamed broccoli and carrots,260,50,6,2,6,2000,18,0,0.2,40,0.3,0.1,1,0.3,70,30,1.5,60,180,500,12,0.7,5,2.5,0.5,Veg,Lunch,Female
Curd rice with cucumber and coriander,220,30,6,6,2.5,600,5,0,0.3,10,0.2,0.1,0.5,0.2,20,120,0.5,20,100,200,150,0.2,2,0.5,3,Veg,Lunch,Female
Stir-fried mixed vegetables with sesame seeds,230,20,5,12,6,1500,10,0,1.5,50,0.2,0.1,0.8,0.3,40,40,2,50,150,300,20,0.5,10,3,1,Veg,Lunch,Female
Bottle gourd curry with bajra roti,300,45,8,6,6,2000,8,0,0.2,30,0.3,0.1,1,0.3,60,50,1.8,40,150,300,10,0.4,5,2,1.5,Veg,Lunch,Female
Spinach and lentil curry with millet roti,320,40,10,7,8,4000,20,0,0.6,80,0.3,0.2,1.2,0.5,80,60,3,70,180,400,15,0.8,10,3.5,1.2,Veg,Lunch,Female
Beetroot and carrot salad with yogurt dressing,180,25,6,5,5,1500,15,0,0.4,40,0.2,0.1,0.8,0.3,30,80,1,20,100,300,150,0.4,2,1,8,Veg,Lunch,Female
Sweet potato mash with sautéed greens,280,50,5,5,7,3000,10,0,0.3,70,0.2,0.1,0.7,0.2,40,60,2,40,150,400,100,0.3,3,1.5,5,Veg,Lunch,Female
Steamed broccoli with quinoa and lentils,280,42,12,6,7.5,1200,15,0,0.5,100,0.3,0.2,1.2,0.4,50,80,2,60,120,280,10,0.8,20,3,2.5,Veg,Dinner,Female
Grilled tofu with sautéed kale,270,15,15,10,6,1600,12,0,1,120,0.2,0.2,1,0.4,40,100,2.5,35,110,250,15,1,15,4.5,1.2,Veg,Dinner,Female
Sweet potato mash with cumin and spinach,260,48,4,5,7,1800,20,0,0.4,25,0.2,0.1,0.8,0.3,25,60,1.5,30,90,280,15,0.5,12,2,4.5,Veg,Dinner,Female
Vegetable khichdi with ginger and turmeric,300,42,9,6,8,1300,10,0,0.3,60,0.3,0.1,1.1,0.3,45,70,2.5,40,110,240,12,0.8,18,2.5,1.5,Veg,Dinner,Female
Stir-fried zucchini and carrots with tofu,280,22,14,10,5.5,900,10,0,1.2,50,0.2,0.1,0.9,0.3,40,85,2,35,100,210,10,0.7,12,3.5,1,Veg,Dinner,Female
Spinach and dal curry with brown rice,290,38,10,6,6.5,2100,15,0,0.5,120,0.3,0.1,1,0.4,60,90,3,50,140,230,15,0.9,12,2.5,1,Veg,Dinner,Female
Roasted pumpkin with a quinoa side salad,260,38,6,6,7,1500,20,0,0.4,80,0.2,0.1,1,0.3,35,70,1.5,35,100,220,12,0.7,10,2.5,1.2,Veg,Dinner,Female
Moong dal soup with cumin and coriander,220,30,8,4,5.5,1000,8,0,0.2,40,0.3,0.1,1,0.3,30,50,1,25,90,200,8,0.5,5,1.5,0.2,Veg,Dinner,Female
Paneer and vegetable stir-fry,300,20,12,12,5,1400,12,0,1,100,0.3,0.2,1.3,0.4,55,200,3,40,130,220,15,1,12,5.5,1.2,Veg,Dinner,Female
Grilled paneer with steamed carrots,270,18,13,10,5,800,10,0,1,50,0.2,0.1,1,0.3,45,100,2.5,35,110,210,10,0.9,10,3.5,0.8,Veg,Dinner,Female
Ragi porridge with a sprinkle of almonds and sesame seeds,220,40,7,8,5,1200,10,0,3,30,0.2,0.3,4,0.5,150,100,3,50,100,200,40,3,25,50,5,Vegetarian,Breakfast,Male
"Greek yogurt with chia seeds, banana, and a handful of walnuts",300,35,12,18,6,1000,20,0,3,50,0.3,0.5,5,0.4,250,150,5,120,200,350,50,6,50,60,9,Vegetarian,Breakfast,Male
Paneer-stuffed whole wheat paratha with minimal oil and curd,250,30,12,9,6,1000,30,0,2,60,0.2,0.3,5,0.6,180,120,7,60,90,250,50,4,15,20,6,Vegetarian,Breakfast,Male
"Oats with fortified milk, chia seeds, and a few figs",270,45,10,6,7,1500,10,100,3,50,0.3,0.4,5,0.5,200,120,8,70,110,250,50,3,25,30,6,Vegetarian,Breakfast,Male
"Vegetarianetable smoothie with spinach, almond milk, and chia seeds",180,25,7,6,5,2500,40,0,2,30,0.3,0.4,4,0.5,150,80,4,60,80,250,30,2,20,40,5,Vegetarian,Breakfast,Male
Sprouted moong dal chilla with a side of curd,220,35,12,6,6,1000,30,0,2,50,0.3,0.4,5,0.5,150,120,5,50,80,200,50,3,15,25,4,Vegetarian,Breakfast,Male
Ragi dosa with coconut chutney (rich in calcium and vitamin D),200,30,6,7,4,1500,20,50,2,40,0.3,0.4,4,0.5,200,120,5,60,90,220,50,3,30,40,4,Vegetarian,Breakfast,Male
Fortified almond milk with dates and flaxseeds,230,35,5,10,4,1000,30,100,3,50,0.3,0.4,4,0.5,180,120,7,80,120,300,50,4,15,30,5,Vegetarian,Breakfast,Male
Dalia (broken wheat) with a handful of crushed almonds and walnuts,250,40,8,12,6,1500,20,0,2,40,0.3,0.4,5,0.6,180,120,5,70,100,250,40,3,30,50,5,Vegetarian,Breakfast,Male
Idli made with ragi (finger millet) and served with sambhar,220,40,6,6,6,1500,20,0,3,50,0.3,0.4,4,0.5,180,120,5,50,90,250,50,3,20,30,4,Vegetarian,Breakfast,Male
Spinach dal with a small portion of brown rice,250,45,12,4,10,2500,15,0,2,60,0.2,0.3,4,0.4,150,120,5,60,100,200,40,3,10,15,4,Vegetarian,Lunch,Male
Mixed Vegetarianetable curry with paneer and one multigrain roti,350,45,15,12,8,2000,25,0,3,40,0.3,0.4,5,0.6,250,150,7,70,120,350,50,4,15,30,5,Vegetarian,Lunch,Male
Tofu stir-fry with bell peppers and broccoli,300,20,18,18,6,1000,80,0,2,70,0.3,0.5,6,0.6,300,150,6,100,140,350,30,7,25,50,5,Vegetarian,Lunch,Male
Rajma (kidney bean) curry with a side of leafy greens,350,55,18,5,12,1200,30,0,3,40,0.2,0.4,4,0.5,150,100,7,80,120,300,50,3,10,20,4,Vegetarian,Lunch,Male
Palak (spinach) sabzi with one bajra (millet) roti,300,45,12,6,8,2500,30,0,3,80,0.3,0.5,5,0.4,200,120,6,60,100,250,50,4,15,30,5,Vegetarian,Lunch,Male
Grilled chicken with a side of sautéed spinach and leafy greens,350,10,30,15,5,2000,30,100,4,50,0.2,0.3,6,0.5,200,100,5,70,120,300,60,2,25,50,0,Non-Vegetarian,Lunch,Male
Cauliflower and green peas curry with a small portion of quinoa,250,40,10,6,8,1500,40,0,2,60,0.3,0.4,5,0.4,200,120,5,60,100,250,50,3,15,20,6,Vegetarian,Lunch,Male
Bhindi (okra) curry with a side of raita made with Greek yogurt,280,25,12,12,8,2000,50,0,3,60,0.3,0.4,5,0.5,200,120,6,80,120,350,50,4,10,30,5,Vegetarian,Lunch,Male
Mixed lentil dal with a side of fresh cucumber and carrot salad,250,40,12,5,10,1500,25,0,3,40,0.3,0.4,5,0.5,200,120,6,70,100,250,50,3,10,20,4,Vegetarian,Lunch,Male
Methi (fenugreek) dal with one multigrain roti,280,40,14,5,9,1000,40,0,2,50,0.2,0.3,5,0.5,200,120,5,60,100,250,50,3,10,15,5,Vegetarian,Lunch,Male
Moong dal soup with spinach and a side of baked sweet potato,250,40,10,6,8,3500,35,0,3,80,0.3,0.4,5,0.5,200,150,7,80,120,350,60,4,10,30,6,Vegetarian,Dinner,Male
Palak paneer with minimal oil and one whole-wheat roti,350,40,15,12,6,2500,40,0,4,70,0.4,0.5,5,0.6,200,150,7,60,120,350,50,3,15,25,4,Vegetarian,Dinner,Male
"Grilled fish with a side of steamed Vegies (like broccoli, rich in vitamin K)",350,10,30,15,5,1200,60,100,3,90,0.3,0.4,5,0.5,200,150,6,70,120,350,60,2,25,50,5,Non-Vegetarian,Dinner,Male
"Mixed Vegetarianetable stew with zucchini, carrots, and sweet potatoes",250,45,6,5,10,3500,60,0,2,60,0.2,0.3,4,0.4,200,100,6,50,100,300,50,3,10,20,6,Vegetarian,Dinner,Male
Tofu and mushroom stir-fry with a side of brown rice,300,40,18,10,8,1000,80,0,3,70,0.4,0.5,6,0.5,300,150,8,100,140,350,50,4,25,50,6,Vegetarian,Dinner,Male
Roasted chickpeas with a green salad and cucumbers,250,35,15,8,12,1500,25,0,3,50,0.3,0.4,4,0.5,200,120,7,60,100,250,50,3,15,25,4,Vegetarian,Dinner,Male
Baingan bharta (roasted eggplant) with one millet roti,300,40,12,8,6,2500,30,0,3,70,0.2,0.3,4,0.4,200,150,6,70,120,350,50,3,10,30,5,Vegetarian,Dinner,Male
Curd rice with a sprinkle of sesame seeds (rich in calcium),250,35,10,6,8,1500,25,0,3,50,0.2,0.3,5,0.5,200,150,7,60,100,250,50,4,15,25,6,Vegetarian,Dinner,Male
Grilled chicken breast with a side of steamed spinach,300,10,30,15,5,1500,50,100,3,70,0.3,0.4,5,0.5,200,150,6,60,100,350,60,2,25,50,5,Non-Vegetarian,Dinner,Male
"Sautéed greens (kale, spinach) with a side of stir-fried tofu",300,20,18,12,8,3000,60,0,3,90,0.3,0.5,5,0.5,250,150,7,70,120,350,50,3,10,30,6,Vegetarian,Dinner,Male
"Ragi porridge with a sprinkle of almonds, raisins, and sesame seeds",280,40,8,12,6,3500,20,0,4,90,0.3,0.4,5,0.5,150,3,7,120,180,400,40,2,15,25,8,Vegetarian,Breakfast,Female
"Greek yogurt parfait with chia seeds, berries, and a few walnuts",350,30,18,18,6,1000,25,0,5,30,0.5,0.6,8,0.7,250,1,9,120,200,250,60,4,50,75,12,Vegetarian,Breakfast,Female
Fortified milk with a handful of almonds and dried figs,350,40,10,15,5,3000,35,100,4,20,0.4,0.5,5,0.6,200,3,5,100,150,300,50,5,30,50,12,Vegetarian,Breakfast,Female
Paneer-stuffed multigrain paratha with minimal oil and curd,350,45,12,15,8,1500,30,0,4,70,0.3,0.4,6,0.5,250,2,6,80,120,300,60,4,25,40,5,Vegetarian,Breakfast,Female
"Vegetarianetable smoothie with spinach, almond milk, and a handful of chia seeds",250,40,8,10,8,3500,50,0,3,80,0.4,0.5,7,0.6,300,3,6,150,200,350,50,5,30,50,6,Vegetarian,Breakfast,Female
Dalia (broken wheat) with crushed almonds and a few dates,300,45,10,12,8,2500,35,0,4,50,0.3,0.4,6,0.5,250,4,7,80,120,350,60,5,25,35,7,Vegetarian,Breakfast,Female
Masala oats with low-fat milk and Vegies like carrots and peas,280,40,10,7,8,3500,35,0,4,60,0.4,0.5,5,0.6,150,4,8,90,120,350,50,4,20,35,6,Vegetarian,Breakfast,Female
Besan (gram flour) chilla with a side of Greek yogurt,250,30,12,8,6,1500,25,0,3,30,0.3,0.4,5,0.5,150,3,7,60,100,300,40,3,20,40,4,Vegetarian,Breakfast,Female
Ragi dosa with coconut chutney for added calcium,250,30,8,7,5,3000,30,0,4,70,0.4,0.5,6,0.5,150,2,6,100,150,250,50,4,25,30,6,Vegetarian,Breakfast,Female
"Idli made with ragi, served with sambhar",300,45,10,8,6,3500,40,0,4,80,0.4,0.5,6,0.5,200,3,7,80,120,300,50,5,25,40,7,Vegetarian,Breakfast,Female
Spinach dal with a small portion of brown rice,300,50,14,7,10,5000,25,0,4,80,0.4,0.5,5,0.6,200,4,6,90,150,400,30,3,20,25,8,Vegetarian,Lunch,Female
Mixed Vegetarianetable sabzi with tofu and one bajra (millet) roti,350,50,16,12,9,2500,30,0,5,60,0.3,0.4,7,0.5,300,3,7,100,150,450,40,4,25,35,7,Vegetarian,Lunch,Female
Rajma (kidney bean) curry with a small portion of red rice,350,50,15,8,12,1000,20,0,4,50,0.5,0.6,6,0.6,250,4,8,90,130,400,30,5,35,45,9,Vegetarian,Lunch,Female
Chole (chickpea) curry with a side of cucumber and tomato salad,300,45,15,6,8,5000,35,0,4,30,0.3,0.4,5,0.5,200,5,7,85,120,350,50,4,25,35,6,Vegetarian,Lunch,Female
Methi (fenugreek) dal with one multigrain roti,320,50,14,7,10,3500,25,0,4,70,0.4,0.5,6,0.6,200,3,6,80,140,400,30,3,20,30,7,Vegetarian,Lunch,Female
"Grilled fish with a side of steamed Vegetables (like broccoli, which is rich in calcium)",350,20,25,15,6,3000,30,100,5,50,0.5,0.6,8,0.7,250,2,8,120,150,350,60,4,35,40,5,Non-Vegetarian,Lunch,Female
Soya bean and spinach curry with a small portion of brown rice,350,50,18,12,8,4000,25,0,5,70,0.4,0.5,7,0.6,300,3,8,120,160,400,30,4,30,40,7,Vegetarian,Lunch,Female
Palak (spinach) and paneer curry with one phulka,350,40,20,15,8,5000,35,0,6,100,0.5,0.6,7,0.6,300,4,7,110,160,450,50,5,40,50,6,Vegetarian,Lunch,Female
Beetroot and carrot salad with a yogurt dressing,250,30,6,12,8,2000,35,0,3,60,0.3,0.4,5,0.5,150,2,4,50,100,350,40,2,20,25,10,Vegetarian,Lunch,Female
Mixed lentil dal with a side of leafy greens,300,45,18,7,12,4000,30,0,4,70,0.5,0.6,6,0.6,200,4,8,100,140,450,50,5,30,40,8,Vegetarian,Lunch,Female
Moong dal soup with spinach and a side of steamed sweet potato,280,50,12,6,10,9000,35,0,4,50,0.4,0.5,6,0.5,200,4,5,90,120,400,20,2,30,35,7,Vegetarian,Dinner,Female
Palak paneer with one multigrain roti,350,40,20,15,8,5000,35,0,6,100,0.5,0.6,7,0.6,300,4,7,110,160,450,50,5,40,50,6,Vegetarian,Dinner,Female
Tofu stir-fry with bell peppers and a side of sautéed kale,350,30,18,12,7,4000,40,0,5,60,0.4,0.5,6,0.6,300,5,8,120,160,350,40,4,25,35,6,Vegetarian,Dinner,Female
"Mixed Vegetarianetable stew with sweet potatoes, zucchini, and carrots",280,50,6,8,12,10000,40,0,4,80,0.5,0.6,7,0.6,300,5,6,90,130,400,30,3,30,45,8,Vegetarian,Dinner,Female
Baked fish with a side of steamed greens,350,20,25,15,6,3000,30,100,5,50,0.5,0.6,8,0.7,250,2,8,120,150,350,60,4,35,40,5,Non-Vegetarian,Dinner,Female
Bhindi (okra) curry with a side of cucumber raita,270,45,6,10,8,2000,35,0,3,40,0.3,0.4,5,0.5,150,4,5,70,100,350,50,4,20,25,9,Vegetarian,Dinner,Female
Sautéed spinach with garlic and one small portion of brown rice,280,45,10,6,10,5000,25,0,4,80,0.4,0.5,6,0.5,200,3,6,90,120,400,30,3,25,35,7,Vegetarian,Dinner,Female
Grilled chicken with a side of steamed broccoli (rich in vitamin K),350,20,30,14,5,2500,35,50,6,100,0.5,0.6,8,0.7,300,5,8,120,150,350,60,5,35,40,5,Non-Vegetarian,Dinner,Female
"Vegetarianetable khichdi with moong dal, cumin, and minimal oil",280,50,12,7,8,5000,30,0,4,70,0.5,0.6,6,0.6,200,4,7,90,130,400,30,3,25,35,8,Vegetarian,Dinner,Female
Baingan bharta (roasted eggplant) with a side of bajra roti,300,45,6,10,9,10000,25,0,4,50,0.4,0.5,7,0.5,200,3,5,80,110,350,50,4,30,40,7,Vegetarian,Dinner,Female
Fortified almond milk with chia,160,10,4,6,3,500,2,100,0.6,50,0.1,0.2,0.8,0.1,25,300,0.5,50,200,150,100,0.8,500,100,6,Veg,Breakfast,Male
Ragi porridge with sesame & almonds,230,25,6,8,4,350,4,50,1.2,80,0.2,0.3,0.9,0.3,40,400,1,60,150,200,80,1.2,250,300,5,Veg,Breakfast,Male
Greek yogurt with flax & walnuts,200,15,10,6,2,250,2,120,0.8,10,0.2,0.4,0.9,0.2,15,250,0.3,40,100,180,50,0.6,300,200,5,Veg,Breakfast,Male
Spinach & cheese omelet,300,4,15,20,2,800,3,200,0.7,90,0.2,0.4,1.5,0.3,30,250,2.5,50,200,300,180,1.5,200,100,2,Non-Veg,Breakfast,Male
Sprouted moong dal pancake,210,20,10,6,4.5,300,6,80,0.9,30,0.2,0.3,1.2,0.3,20,100,1,45,150,200,100,1,30,120,2,Veg,Breakfast,Male
Cottage cheese toast,220,20,12,7,2,250,3,90,0.6,15,0.3,0.4,0.8,0.2,10,180,0.8,40,140,200,80,0.8,20,90,3,Veg,Breakfast,Male
Ragi dosa with peanut chutney,230,30,5,8,3.5,350,4,60,0.8,70,0.3,0.3,0.9,0.3,25,400,1.5,55,180,150,120,1.1,50,140,4,Veg,Breakfast,Male
Oats with fortified soy milk,200,25,8,5,4,400,5,120,0.7,50,0.2,0.4,1.1,0.2,30,350,1,40,130,180,80,1,300,200,5,Veg,Breakfast,Male
Besan chilla with sesame seeds,190,18,10,5,3,200,3,80,0.6,60,0.1,0.2,0.9,0.3,20,300,1.2,30,110,150,100,0.8,40,120,3,Veg,Breakfast,Male
Multigrain bread with hummus,180,22,6,6,3,150,1,40,0.4,25,0.1,0.3,0.8,0.2,15,150,0.6,35,90,120,60,0.5,20,90,4,Veg,Breakfast,Male
Grilled salmon with spinach,400,8,35,15,4,1000,12,300,1.2,120,0.2,0.4,8,0.4,50,300,2.5,70,250,400,200,2,2000,1500,0,Non-Veg,Lunch,Male
Quinoa salad with kale and nuts,380,40,12,12,6,750,25,150,1.8,150,0.3,0.5,1,0.4,40,400,2,80,200,450,100,1.5,600,400,5,Veg,Lunch,Male
Lentil soup with sesame seeds,300,30,12,8,7,300,15,80,1,90,0.3,0.3,1,0.3,30,200,3,90,150,350,150,1,80,200,6,Veg,Lunch,Male
Grilled chicken with broccoli,450,5,40,20,3,900,8,250,1.1,110,0.2,0.4,10,0.5,30,400,3.5,50,250,500,180,2.5,150,200,0,Non-Veg,Lunch,Male
Brown rice and tofu stir-fry,380,50,14,10,5,700,20,80,1.4,100,0.4,0.6,2,0.4,25,250,1.8,90,180,400,150,1.8,40,100,5,Veg,Lunch,Male
Sardine curry with roti,420,30,25,18,4,600,6,200,1.5,120,0.3,0.5,5,0.4,20,300,2.5,60,200,450,250,2,700,400,2,Non-Veg,Lunch,Male
Palak paneer with whole wheat roti,400,35,15,12,5,1200,18,120,1.3,200,0.3,0.5,1.5,0.3,40,600,2.5,80,180,350,150,1.8,90,150,4,Veg,Lunch,Male
Fish curry with brown rice,410,35,28,12,3,500,8,250,1,80,0.2,0.4,6,0.4,25,350,3,70,200,450,180,2,800,600,1,Non-Veg,Lunch,Male
Millet khichdi with nuts,360,50,10,10,5,700,10,80,1.1,90,0.3,0.4,1.5,0.3,30,250,1.5,70,150,400,100,1.5,60,200,5,Veg,Lunch,Male
Egg curry with whole grain bread,380,25,20,15,3,500,5,200,1.2,100,0.2,0.4,2,0.4,25,350,2,80,180,400,150,2,120,200,3,Non-Veg,Lunch,Male
Grilled salmon with asparagus,420,10,38,18,3,900,15,400,1.2,150,0.3,0.5,8,0.6,40,350,3,80,300,450,180,2,2000,1500,0,Non-Veg,Dinner,Male
Paneer tikka with mixed veggies,400,30,18,15,5,1200,20,150,1.4,200,0.4,0.5,1,0.3,35,600,2.5,70,250,400,120,1.8,80,200,4,Veg,Dinner,Male
Chicken curry with quinoa,450,30,35,16,4,600,8,300,1.1,110,0.2,0.4,10,0.5,30,400,3.5,70,250,500,200,2,150,200,0,Non-Veg,Dinner,Male
Spinach soup with multigrain bread,300,35,10,6,6,1400,20,80,1.2,250,0.3,0.4,1.5,0.3,40,700,2.8,100,180,450,110,1.5,60,200,5,Veg,Dinner,Male
Baked mackerel with sweet potato,390,20,30,14,4,500,12,250,1.5,100,0.3,0.5,5,0.4,25,350,2.5,60,200,400,150,1.8,700,500,1,Non-Veg,Dinner,Male
Rajma curry with brown rice,420,55,15,8,7,700,15,100,1.3,110,0.4,0.6,2,0.5,50,400,3,90,220,450,150,2,100,250,4,Veg,Dinner,Male
Fish stew with barley,400,25,28,14,4,800,10,300,1,100,0.2,0.4,6,0.4,30,400,3,80,200,450,180,2,900,500,0,Non-Veg,Dinner,Male
Chickpea curry with quinoa,380,45,12,10,6,750,18,100,1.4,150,0.3,0.5,2,0.3,40,500,2.5,90,180,400,100,1.8,80,100,5,Veg,Dinner,Male
Baked cod with broccoli and rice,410,30,28,12,3,800,10,250,1.2,110,0.3,0.4,8,0.4,30,350,2.8,60,220,450,150,2.5,900,400,1,Non-Veg,Dinner,Male
Vegetable stir-fry with tofu,360,40,15,8,5,900,20,80,1.2,120,0.3,0.4,1,0.3,30,350,2,70,150,400,100,1.5,60,200,4,Veg,Dinner,Male
Oats with almond milk and berries,350,45,8,10,6,800,15,100,1,50,0.4,0.5,1,0.4,40,200,2.5,70,200,350,90,2,60,80,7,Veg,Breakfast,Female
Scrambled eggs with spinach,320,5,20,18,3,1200,10,400,1.5,180,0.3,0.5,1.2,0.4,30,350,3,80,250,250,120,1.5,1200,800,1,Non-Veg,Breakfast,Female
Whole wheat toast with avocado,320,35,6,14,7,600,15,150,2.5,100,0.3,0.4,1.5,0.4,35,250,2,50,200,300,110,1.3,30,120,2,Veg,Breakfast,Female
Greek yogurt with chia seeds,280,18,15,10,4,800,20,100,1.8,120,0.3,0.5,1.2,0.3,30,300,2.5,60,220,400,130,2,500,250,5,Veg,Breakfast,Female
"Smoothie with kale, banana, and protein powder",350,40,20,8,6,1000,15,150,1,180,0.3,0.6,1.5,0.4,40,400,3,70,300,450,200,2,80,120,5,Veg,Breakfast,Female
Cottage cheese with walnuts and honey,300,18,20,14,4,500,10,200,0.5,150,0.3,0.4,1.2,0.4,35,400,3,80,200,350,150,1.5,30,100,8,Non-Veg,Breakfast,Female
Poached eggs with avocado and tomatoes,350,12,18,22,5,800,25,300,1.2,150,0.4,0.5,1,0.5,40,300,2,70,250,450,180,1.8,500,200,2,Non-Veg,Breakfast,Female
Chia pudding with coconut milk and berries,350,30,8,14,6,1200,15,100,2,200,0.4,0.5,1,0.5,30,250,2.5,70,200,350,100,2,60,120,5,Veg,Breakfast,Female
Oatmeal with banana and peanut butter,380,45,8,14,7,600,10,80,1,150,0.3,0.4,1,0.5,35,300,3,80,200,400,120,2,100,150,4,Veg,Breakfast,Female
Fruit salad with yogurt and almonds,350,40,10,14,5,1000,25,200,1.5,100,0.3,0.4,1.2,0.4,30,300,2.5,60,220,350,150,1.5,80,100,6,Veg,Breakfast,Female
Grilled chicken with roasted vegetables,400,30,35,12,5,700,20,300,1.1,120,0.3,0.4,8,0.5,30,400,3,80,250,400,150,1.8,100,150,2,Non-Veg,Lunch,Female
Quinoa salad with chickpeas and avocado,380,45,12,14,6,800,18,100,1.4,150,0.3,0.5,2,0.3,40,500,2.5,90,200,350,200,2,80,100,5,Veg,Lunch,Female
Turkey and cheese sandwich on whole wheat bread,420,40,28,16,4,600,10,250,1,120,0.3,0.4,10,0.4,35,300,3.5,70,220,400,180,2,200,300,2,Non-Veg,Lunch,Female
Lentil soup with whole grain bread,350,45,18,8,7,800,20,50,1.2,150,0.4,0.5,2,0.4,50,350,2.8,80,200,350,130,2,60,180,3,Veg,Lunch,Female
Salmon salad with mixed greens,380,15,30,18,4,1200,25,500,1.2,200,0.3,0.5,8,0.6,40,350,3,70,250,400,120,2,1000,1500,0,Non-Veg,Lunch,Female
Tofu stir-fry with brown rice,360,45,20,12,6,800,15,50,1.2,150,0.3,0.4,2.5,0.3,40,500,2,80,250,400,200,2.5,60,120,4,Veg,Lunch,Female
Grilled shrimp with quinoa and spinach,400,30,28,12,5,1000,10,300,1.1,120,0.3,0.5,8,0.6,40,400,3,70,250,400,150,2,100,200,1,Non-Veg,Lunch,Female
Sweet potato and kale salad with feta cheese,380,50,10,14,7,800,20,50,1,200,0.3,0.5,1.5,0.3,35,400,2.5,80,200,350,120,1.5,60,150,3,Veg,Lunch,Female
Chicken Caesar salad,450,10,35,20,3,500,10,300,1.5,120,0.3,0.5,6,0.4,30,350,3.5,60,250,350,200,2,200,200,1,Non-Veg,Lunch,Female
Roasted vegetable and hummus wrap,350,50,12,12,7,1000,25,80,1.4,150,0.3,0.5,2,0.3,40,400,2.5,90,220,350,150,1.5,80,120,4,Veg,Lunch,Female
Beef stir-fry with vegetables and rice,450,35,30,18,4,700,15,200,1.2,150,0.3,0.5,6,0.4,35,400,3,70,250,450,180,2,100,150,2,Non-Veg,Lunch,Female
Grilled salmon with asparagus,420,10,38,18,3,900,15,400,1.2,150,0.3,0.5,8,0.6,40,350,3,80,300,450,180,2,2000,1500,0,Non-Veg,Dinner,Female
Paneer tikka with mixed veggies,400,30,18,15,5,1200,20,150,1.4,200,0.4,0.5,1,0.3,35,600,2.5,70,250,400,120,1.8,80,200,4,Veg,Dinner,Female
Chicken curry with quinoa,450,30,35,16,4,600,8,300,1.1,110,0.2,0.4,10,0.5,30,400,3.5,70,250,500,200,2,150,200,0,Non-Veg,Dinner,Female
Spinach soup with multigrain bread,300,35,10,6,6,1400,20,80,1.2,250,0.3,0.4,1.5,0.3,40,700,2.8,100,180,450,110,1.5,60,200,5,Veg,Dinner,Female
Baked mackerel with sweet potato,390,20,30,14,4,500,12,250,1.5,100,0.3,0.5,5,0.4,25,350,2.5,60,200,400,150,1.8,700,500,1,Non-Veg,Dinner,Female
Rajma curry with brown rice,420,55,15,8,7,700,15,100,1.3,110,0.4,0.6,2,0.5,50,400,3,90,220,450,150,2,100,250,4,Veg,Dinner,Female
Fish stew with barley,400,25,28,14,4,800,10,300,1,100,0.2,0.4,6,0.4,30,400,3,80,200,450,180,2,900,500,0,Non-Veg,Dinner,Female
Chickpea curry with quinoa,380,45,12,10,6,750,18,100,1.4,150,0.3,0.5,2,0.3,40,500,2.5,90,180,400,100,1.8,80,100,5,Veg,Dinner,Female
